ain,PRIMARY_NA,FRS_FACILI,REGISTRY_I,LOCATION_A,SUPPLEMENT,CITY_NAME,COUNTY_NAM,FIPS_CODE,STATE_CODE,STATE_NAME,COUNTRY_NA,POSTAL_COD,FEDERAL_FA,FEDERAL_AG,TRIBAL_LAN,TRIBAL_L_1,CONGRESSIO,CENSUS_BLO,HUC_CODE,EPA_REGION,SITE_TYPE_,LOCATION_D,CREATE_DAT,UPDATE_DAT,US_MEXICO_,PGM_SYS_AC,INTEREST_T,NAICS_CODE,NAICS_CO_1,SIC_CODES,SIC_CODE_D,CONVEYOR,COLLECT_DE,ACCURACY_V,REF_POINT_,HDATUM_DES,SOURCE_DES,count,,X,Y
6054021017,MOBIL #11-GLO,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065201579,1.10E+11,505 CENTURY BLVD W,,ATHENS,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90044,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/10/2015 9:55:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,1,,-118.28298,33.94574
6088001030,MOBIL #18-G4Y FORMER #11-G4Y,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066750929,1.10E+11,11400 VERMONT AVE S,,ATHENS,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90044,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/14/2015 12:51:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,2,,-118.2913496,33.93060484
6054009029,MOBIL #18-LJY,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065117812,1.10E+11,850 CENTURY BLVD W,,ATHENS,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90044,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/10/2015 9:17:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,3,,-118.2911506,33.94533215
6054022001,SHELL,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065617390,1.10E+11,9920 HOOVER ST S,,ATHENS,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90044,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/13/2015 12:31:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,4,,-118.2866,33.94581
6053023010,SHELL #204-4531-8801,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066321313,1.10E+11,304 CENTURY BLVD W,,ATHENS,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90003,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/14/2015 10:58:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,5,,-118.27875,33.94525
6075005020,U-HAUL MOVING CENTER,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065610271,1.10E+11,11020 VERMONT AVE S,,ATHENS,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90044,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/13/2015 12:24:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,6,,-118.2913399,33.93517915
5127028025,CAL-COMPACT,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065085295,1.10E+11,2100 SOUTH MAIN ST,,CARSON,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90248,,,,,31,6.04E+13,18070104,9,STATIONARY,,10/10/2015 9:01:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,7,,-118.2658099,34.02872659
5167006023,D & D PROPERTY MAINTENANCE,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066528939,1.10E+11,2300 SOUTH ALAMEDA STREET,,CARSON,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90058,,,,,34,6.04E+13,18070105,9,STATIONARY,,10/14/2015 11:54:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,8,,-118.2394303,34.01554994
5167006023,TEXACO REFINING,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110011660817,1.10E+11,2328 S ALAMEDA ST,,CARSON,LOS ANGELES,6037,CA,CALIFORNIA,USA,90745,,,,,34,6.04E+13,18070105,9,STATIONARY,,3/1/2000 0:00:00,4/24/2002 14:06:00,,NCDB,COMPLIANCE ACTIVITY,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,9,,-118.2394315,34.01550307
5127017015,GMC EL SEGUNDO,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110002333993,1.10E+11,2030 MAPLE AVENUE,,EL SEGUNDO,LOS ANGELES,6037,CA,CALIFORNIA,USA,90245-5008,,,,,31,6.04E+13,18070104,9,STATIONARY,,3/1/2000 0:00:00,1/2/2016 7:16:00,,"BR, CA-CERS, CA-ENVIROVIEW, RCRAINFO, TRIS","HAZARDOUS WASTE BIENNIAL REPORTER, LQG, STATE MASTER, TRI REPORTER, TSD","332813, 334419, 334511, 336414","ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING., GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING., OTHER ELECTRONIC COMPONENT MANUFACTURING., SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTUR","3471, 3479, 3679, 3761, 3812","COATING, ENGRAVING, AND ALLIED SERVICES, NOT ELSEWHERE CLASSIFIED, ELECTRONIC COMPONENTS, NOT ELSEWHERE CLASSIFIED, ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING, GUIDED MISSILES AND SPACE VEHICLES, SEARCH, DETECTION, NAVIGATION, GUIDANCE,",FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,10,,-118.2625153,34.02784315
6083001030,SPRINT/NEXTEL,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065277122,1.10E+11,216 IMPERIAL HWY,,EL SEGUNDO,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90245,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/10/2015 10:28:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,11,,-118.2712128,33.93086664
5041028034,PAP INVESTMENT COMPANY,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066525852,1.10E+11,3717 NORMANDIE AVE,,GARDENA,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90062,,,,,33,6.04E+13,18070104,9,STATIONARY,,10/14/2015 11:53:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,12,,-118.30038,34.02025
6023004026,SHELL,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066600770,1.10E+11,1020 FLORENCE AVE E,,GARDENA,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90003,,,,,35,6.04E+13,18070105,9,STATIONARY,,10/14/2015 12:17:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,13,,-118.25672,33.97452
5074034028,SHELL 204-4531-2000,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110066263082,1.10E+11,2190 WASHINGTON BLVD W,,JEFFERSON PARK,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90018,,,,,33,6.04E+13,18070104,9,STATIONARY,,10/14/2015 10:42:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,14,,-118.30863,34.03963
5167002054,FINE QUALITY METAL FINISHING,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110037949398,1.10E+11,1640 LONG BEACH AVE.,,LONG BEACH,LOS ANGELES,6037,CA,CALIFORNIA,USA,90813,,,,,34,6.04E+13,18070105,9,STATIONARY,,2/12/2009 12:39:00,5/3/2015 12:20:00,,"BR, ICIS, RCRAINFO","ENFORCEMENT/COMPLIANCE ACTIVITY, HAZARDOUS WASTE BIENNIAL REPORTER, LQG",332813,"ELECTROPLATING, PLATING, POLISHING, ANODIZING, AND COLORING.",,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,15,,-118.242545,34.02203208
6066015900,103RD ST,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110064692426,1.10E+11,2254 E 103RD ST.,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,USA,90003,,,,,35,6.04E+13,18070105,9,BROWNFIELDS SITE,,9/10/2015 14:05:00,,,ACRES,BROWNFIELDS PROPERTY,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,16,,-118.23142,33.94285
6012002025,14 V K,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110002762430,1.10E+11,6610 S BROADWAY #215,,LOS ANGELES,LOS ANGELES,6037,CA,,USA,90014,,,,,35,6.04E+13,18070105,9,STATIONARY,,3/1/2000 0:00:00,12/29/2014 8:56:00,,RCRAINFO,SQG,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,22,,-118.27794,33.97942
6073025011,14184 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043846844,1.10E+11,11320 MAIN ST S,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90061,,,,,35,6.04E+13,18070105,9,STATIONARY,,9/22/2011 11:40:00,10/5/2011 10:03:00,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,23,,-118.2737074,33.93132439
6018007001,15899 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043345724,1.10E+11,1454 FLORENCE AVE W,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90047,,,,,35,6.04E+13,18070104,9,STATIONARY,,3/30/2011 14:36:00,,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,24,,-118.30224,33.97427
6030018033,16877 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043844864,1.10E+11,251 MANCHESTER AVE W,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90003,,,,,35,6.04E+13,18070105,9,STATIONARY,,9/22/2011 11:31:00,10/5/2011 10:44:00,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,25,,-118.27008,33.96039
6009030021,17250 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043356472,1.10E+11,1885 SLAUSON AVE W,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90041,,,,,31,6.04E+13,18070105,9,STATIONARY,,3/30/2011 16:29:00,,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,50,ENTRANCE POINT OF A FACILITY OR STATION,NAD83,,26,,-118.2387889,33.98904497
6013024013,17726 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043345939,1.10E+11,615 FLORENCE AVE W,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90044,,,,,35,6.04E+13,18070105,9,STATIONARY,,3/30/2011 14:39:00,,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,27,,-118.28409,33.97484
5108001015,18088 RB4,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110043366185,1.10E+11,4442 AVALON BLVD S,,LOS ANGELES,LOS ANGELES,6037,CA,CALIFORNIA,USA,90011,,,,,35,6.04E+13,18070105,9,STATIONARY,,3/30/2011 17:47:00,,,LUST-ARRA,LEAKING UNDERGROUND STORAGE TANK - ARRA,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,28,,-118.26484,34.00272
5056026034,1910 AUTO BODY,http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110065186088,1.10E+11,1910 S ORCHARD AVE,,LOS ANGELES,LOS ANGELES,,CA,CALIFORNIA,U.S.A.,90007,,,,,31,6.04E+13,18070104,9,STATIONARY,,10/10/2015 9:48:00,,,CA-ENVIROVIEW,STATE MASTER,,,,,FRS-GEOCODE,ADDRESS MATCHING-HOUSE NUMBER,30,CENTER OF A FACILITY OR STATION,NAD83,,29,,-118.28807,34.0397
