ain,Name,descriptio,cat1,cat2,cat3,addrln1,addrln2,city,state,zip,hours,phones,url,email,info1,info2,link,org_name,X,Y
5126017017,St. John'S Well Child And Family Center,,Health and Mental Health,Health Centers,,2300 S. Flower St.,Ste. 303,Los Angeles,CA,90007,,(323) 541-1600 (Primary),,,,,http://egis3.lacounty.gov/lms/?p=756,LA County,-118.2725671,34.0297513
5123018024,St. John'S Well Child And Family Center,,Health and Mental Health,Health Centers,,515 W. 27Th St.,,Los Angeles,CA,90007,,(213) 749-0947 (Primary),,,,,http://egis3.lacounty.gov/lms/?p=757,LA County,-118.2755913,34.02704328
6048023010,92Nd And Maie Child Development Center,"The agency provides child care services, family preservation, and mental health services primarily for people who live in South Central Los Angeles.",Health and Mental Health,Mental Health Programs,,9200 S. Maie St.,,Los Angeles,CA,90002,"Monday through Friday, 8:00am to 5:00pm.",Service/Intake (323) 249-0621,www.drewcdc.org,,,,http://egis3.lacounty.gov/lms/?p=804,www.drewcdc.org,-118.2445034,33.95310647
6048023010,92Nd And Maie Child Development Center,"The agency provides child care services, family preservation, and mental health services primarily for people who live in South Central Los Angeles.",Social Services,Child Care,,9200 S. Maie St.,,Los Angeles,CA,90002,"Monday through Friday, 8:00am to 5:00pm.",Service/Intake (323) 249-0621,www.drewcdc.org,,,,http://egis3.lacounty.gov/lms/?p=804,www.drewcdc.org,-118.2444999,33.95308404
5126031010,Los Angeles County Department Of Children And Family Services - Child Abuse Hotline And Emergency Response Command,The agency provides child protective services for youth in Los Angeles.,Health and Mental Health,Mental Health Counseling,,1933 S Broadway,,Los Angeles,CA,90007,"Monday through Sunday, 24 hours per day.","Child Abuse Hotline - Deaf and Hearing Impaired TDD (800) 272-6699, Child Abuse Hotline/24 Hours - in CA Hotline/Talkline/Warmline (800) 540-4000, Child Abuse Hotline - outside CA Hotline/Talkline/Warmline (213) 639-4500",dcfs.lacounty.gov,,,,http://egis3.lacounty.gov/lms/?p=811,,-118.2668925,34.03003505
6036001046,El Nido Family Centers - South Los Angeles,The agency provides counseling services and family life education for youth and their families in Los Angeles.,Health and Mental Health,Mental Health Counseling,,2152 W. Manchester Ave.,,Los Angeles,CA,90047,"Monday through Friday, 8:30am to 5:30pm.","FAX (323) 753-1222,  Service/Intake (323) 971-7360",www.elnidofamilycenters.org/,,,,http://egis3.lacounty.gov/lms/?p=830,,-118.3173019,33.95979113
6036001046,El Nido Family Centers - South Los Angeles,The agency provides counseling services and family life education for youth and their families in Los Angeles.,Health and Mental Health,Health Screening and Testing,,2152 W. Manchester Ave.,,Los Angeles,CA,90047,"Monday through Friday, 8:30am to 5:30pm.","FAX (323) 753-1222,  Service/Intake (323) 971-7360",www.elnidofamilycenters.org/,,,,http://egis3.lacounty.gov/lms/?p=830,,-118.3173019,33.95979113
6036001046,El Nido Family Centers - South Los Angeles,The agency provides counseling services and family life education for youth and their families in Los Angeles.,Education,Early Childhoold Education and Head Start,,2152 W. Manchester Ave.,,Los Angeles,CA,90047,"Monday through Friday, 8:30am to 5:30pm.","FAX (323) 753-1222,  Service/Intake (323) 971-7360",www.elnidofamilycenters.org/,,,,http://egis3.lacounty.gov/lms/?p=830,,-118.3173019,33.95979113
6050017012,Los Angeles Wings Of Faith Inc,The agency provides counseling services and supervised visitation monitoring for families who live in Los Angeles.,Health and Mental Health,Mental Health Programs,,9626 S. Avalon Blvd.,,Los Angeles,CA,90003,,"Safe Exchange Program FAX (310) 548-3017,  Service/Intake and Administration (323) 449-1300, So Cal chapter information Service/Intake (323) 779-0729,  Service/Intake (310) 834-1800,  FAX (323) 779-0739",www.resourcesunlimited.us/,,,,http://egis3.lacounty.gov/lms/?p=841,www.resourcesunlimited.us/,-118.2649729,33.94898812
5114018011,"Soledad Enrichment Action, Inc. - South Central School","The agency provides education services, family life education, and youth services for at risk youth and their families in Los Angeles County.",Health and Mental Health,Mental Health Counseling,,1037 E. 34th St.,,Los Angeles,CA,90011,"SITE HOURS: Monday through Friday, 8:00am to 4:45pm.","FAX (323) 233-2489,  Service/Intake (323) 233-9119",www.seacharter.org/,,,,http://egis3.lacounty.gov/lms/?p=915,,-118.2573739,34.01288112
